,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,HV1,HV2,KV1,KV2,AV1,Vfdt1,Vfdt2,HR1,HR2,HR3,THR1,THR2,HR4,HR5,HR6,THR4,THR5,HR7,HR8,HR9,THR7,THR8,H1,H2,H3,H4,H5,H6,H7,TH2,TH3,TH5,TH6,H8,H9,H10,H11,H12,H13,H14,TH9,TH10,TH12,TH13,H15,H16,H17,THR15,THR16,K1,K2,K3,K4,K5,K6,K7,TK2,TK3,TK5,TK6,K8,K9,K10,TK8,TK9,K11,K12,K13,TK11,TK12,A1,A2,A3,A4,A5,A6,A7,TA2,TA3,TA5,TA6,A8,A9,A10,TA8,TA9
M_IZ_L031M3NAAA,67.723138,32.276862,1.097733,69.476793,1.146667,52.336464,0.957235,60.584523,0.538687,34.094093,0.553333,108.435708,0.363333,0.230000,-84.154538,68.222663,149.111112,-217.078545,-83.763974,1.590823,29.342872,23.238333,17.920000,5.318333,38.898136,67.938988,7.426333,-2.863667,10.290000,22.387925,77.288148,7.678000,-6.429333,14.107333,40.686695,87.493728,39.857000,41.071000,1.954667,15.697333,43.412000,15.697333,41.472333,3.782173,55.220930,88.347522,67.723138,1.385000,4.275333,-7.052000,-7.217000,1.371000,-7.972000,12.247333,22.251304,67.287001,94.919409,70.053327,16.230000,-9.714667,25.944667,91.547428,67.729579,0.400000,47.116333,0.245333,48.924000,63.971667,-1.103667,65.075333,67.287001,14.057971,74.995252,98.253585,12.893333,4.823667,8.069667,65.031024,68.606940,-7.957333,-37.752333,29.795000,73.099846,33.333333,2.219000,10.049333,-17.025333,-15.457667,9.066667,-15.457667,27.641000,37.914287,65.692466,94.340542,67.723138,13.547667,-27.885000,41.432667,85.172690,30.383529
M_IZ_L034M1NAAA,60.963455,39.036545,1.620937,91.080352,1.058333,56.699889,1.531596,86.060425,0.810393,45.535894,0.500000,120.102692,0.458333,0.095000,-118.689957,155.071975,255.806964,-202.305072,-207.861869,17.449215,77.321923,15.880000,8.528667,7.351333,41.904762,43.473606,3.421667,-4.649000,8.070667,25.370986,69.937246,7.040667,-7.283000,14.323667,7.925434,49.298634,46.827333,47.488333,-9.921667,-3.815333,44.992667,-3.815333,57.410000,3.137689,53.717239,87.419712,60.963455,-4.971000,6.403667,-5.017333,-3.666333,-2.972000,-10.776667,17.180333,40.959764,20.952381,85.562938,70.730897,-0.025333,-17.375333,17.350000,92.934662,16.186785,12.783000,35.272333,3.481667,37.180333,68.333000,4.995000,64.851333,60.490956,38.903654,72.609819,96.552233,2.262333,-5.047667,7.310000,84.222961,69.937246,16.537000,0.409667,16.127333,16.651901,64.603175,3.902333,10.565667,-14.165000,-15.472333,7.029333,-20.963000,31.528667,44.425987,60.490956,93.510520,64.584718,-1.244333,-20.461000,19.216667,48.047250,76.548542
M_IZ_L035M1NAAA,60.034653,39.965347,0.975670,65.923649,0.993333,60.835437,0.991661,67.004106,0.490597,33.148423,0.475000,126.984127,0.453333,0.065000,-83.750518,107.968807,72.165659,-148.177823,-98.094221,-19.939974,8.245931,28.358000,13.564667,14.793333,19.358921,82.559711,4.620000,-12.604333,17.224333,67.491970,48.357736,0.780000,-10.858667,11.638667,58.788172,40.238643,51.259667,51.529333,11.954333,15.945333,52.411333,15.945333,42.183667,3.986587,51.530246,92.557713,60.034653,1.377333,4.399333,-5.052333,-2.658000,5.735667,-12.384667,20.633333,48.628707,48.765359,99.850523,78.487164,23.404333,-5.947667,29.352000,10.421079,69.352479,35.249000,49.910333,21.759667,49.815000,64.601333,36.159333,42.841667,42.636809,29.222755,81.807900,98.988951,0.372000,-12.330333,12.702333,85.484033,55.329485,19.232667,0.307333,18.925333,18.561399,80.007568,-5.672667,9.770000,-10.596000,-11.139667,-5.175667,-17.476000,27.246000,12.880893,59.527691,93.423019,65.416438,1.393000,-15.653667,17.046667,70.636669,53.365141
M_IZ_L036M1NAAA,58.491659,41.508341,1.508780,88.232749,0.991667,60.508666,1.521492,88.976158,0.800687,46.823782,0.503333,119.223687,0.415000,0.081667,-98.445421,105.842638,211.225589,-150.401351,-138.359857,9.586452,55.591498,19.601667,15.408333,4.193333,35.603511,93.542543,6.795000,0.934667,5.860333,10.921512,59.325044,6.617333,-0.882000,7.499333,3.525433,65.463200,42.739333,43.023333,-0.163667,8.511667,42.164000,8.511667,43.224000,1.857929,49.576949,95.962585,58.491659,-1.841667,7.545667,-4.258333,-4.581333,-3.108667,-7.515000,15.060667,40.504051,39.320753,87.517520,75.248299,-2.166667,-17.690667,15.524000,46.541363,10.918948,7.392000,40.414667,6.370000,41.825667,55.604667,1.161667,54.443000,57.987420,19.523810,67.053567,95.286706,6.304333,-3.413667,9.718000,67.700612,31.167316,5.133000,-10.101667,15.234667,11.423187,61.657300,-0.005333,12.525667,-11.801333,-10.787333,4.808000,-11.541333,25.294333,40.166530,57.144771,90.957816,59.491659,-5.537000,-19.879333,14.342333,61.935374,76.631542
M_IZ_L038M1NAAA,64.157910,35.842090,1.187163,67.465392,1.065000,56.345480,1.114783,63.351942,0.562420,31.961766,0.555000,108.113958,0.361667,0.148333,-27.890096,69.265306,152.454851,-177.273142,-128.510863,10.883808,45.283646,17.637667,13.887333,3.750333,69.304345,68.701095,6.485333,0.211333,6.274000,18.621668,71.351752,6.929333,-2.645333,9.574667,44.942991,61.799935,36.485000,36.583333,2.209000,22.940667,42.675000,22.940667,40.466000,2.063492,49.919455,83.574596,64.157910,-5.765667,3.903000,-7.290667,-5.461667,-3.751667,-7.036000,11.247000,43.332650,41.494957,82.006173,92.183036,14.178000,-5.204000,19.382000,64.931813,62.595077,6.886000,54.724000,0.008667,55.729667,61.748333,1.115667,61.739667,63.688365,37.543905,70.266537,97.176019,12.394333,2.602667,9.791667,81.531224,86.071615,4.120000,-18.027000,22.147000,10.429428,94.281305,-12.209667,12.982667,-26.174667,-24.313667,-10.185333,-24.313667,39.157333,44.595722,62.123295,90.620016,64.157910,11.501000,-9.449333,20.950333,97.037223,20.177360
M_IZ_L040M1NAAA,60.774795,39.225205,1.023547,79.986558,0.978333,61.438385,1.050365,82.083510,0.514727,40.224090,0.498333,120.725554,0.355000,0.116667,-96.778999,127.408491,273.016055,-214.564021,-125.731132,16.718836,35.631609,19.879333,10.223667,9.655667,65.691057,32.538194,3.960667,-6.468333,10.429000,39.191141,65.839783,11.288333,-9.553000,20.841333,35.477917,47.786206,43.593667,44.041667,1.068333,9.796667,48.821667,9.796667,47.753333,1.801802,52.449052,90.054777,60.774795,-6.363667,3.743333,-9.229000,-5.704333,-3.349333,-11.318000,15.061333,30.130713,19.639640,78.536273,87.027027,19.137000,3.508333,15.628667,76.339266,71.482611,11.150667,46.097000,6.966000,48.113000,74.191333,10.988000,67.225333,60.262808,27.390533,71.682600,97.618106,13.430667,-2.040667,15.471333,81.561971,58.667465,3.164000,-21.018000,24.182000,72.605452,66.016260,-1.685667,12.646667,-10.215000,-6.728333,6.244333,-8.395000,22.861667,40.616298,3.893761,92.832278,62.284431,-12.106667,-26.202667,14.096000,67.801844,25.228081
M_IZ_L041M1NAAA,62.893754,37.106246,1.064183,62.969428,1.111667,54.122726,0.960142,56.813140,0.519437,30.735897,0.555000,108.276077,0.391667,0.165000,-48.718857,77.496993,176.333468,-149.695655,-153.581946,20.607898,54.480091,22.161333,18.723667,3.437667,33.526844,78.350636,1.652000,-5.767000,7.419000,17.732415,63.189502,-0.627333,-9.366333,8.739000,35.703704,52.312742,42.494333,42.634000,14.187000,27.467333,45.515333,27.467333,31.328333,0.592593,50.721897,83.459485,62.893754,3.692000,8.644333,-3.331667,-3.463667,3.514000,-4.168667,12.830667,18.776305,62.442731,97.333333,64.388118,17.152000,4.166667,12.985333,85.779285,78.772604,11.301333,51.958333,10.007333,52.867333,61.879000,8.420000,53.459000,62.442731,2.564841,70.727927,94.902936,5.189333,-6.395000,11.584333,82.325556,94.471100,-5.447667,-19.044000,13.596333,74.973927,63.986843,-3.100667,11.245333,-17.690333,-15.524000,0.099333,-15.829667,29.425667,42.880872,60.483640,94.142735,63.486347,4.636333,-10.345000,14.981333,93.963203,33.394045
M_IZ_L043M2NAAA,69.486596,30.513404,1.026027,61.073016,1.423333,42.239528,0.723313,43.054327,0.486443,28.954960,0.636667,94.530414,0.506667,0.280000,-61.687908,93.048755,162.464291,-121.901889,-104.237392,22.459213,74.833838,13.424000,1.956333,11.467667,18.886576,48.606622,0.712667,-3.427667,4.140333,60.534953,30.239724,15.760000,3.678000,12.082000,26.807416,87.350787,31.840000,31.968333,-6.596333,14.161000,34.026333,14.161000,40.622667,2.060606,54.273040,88.219235,69.486596,-6.748000,3.954333,-7.547667,-2.555333,-2.455000,-8.938667,13.276667,58.950873,4.487462,78.423795,83.878023,1.837333,-12.521667,14.359000,9.965462,82.818934,16.424333,53.102333,9.823333,54.182000,59.959667,15.757333,50.136333,69.134600,37.619653,73.457363,95.820412,1.928333,-4.612333,6.540667,82.465451,61.709519,4.928333,-6.256667,11.185000,68.400057,0.582341,12.185333,20.194333,-4.131333,-2.724000,15.681333,-2.724000,24.325667,52.193985,48.639829,89.088609,69.486596,-1.642333,-18.360333,16.718000,84.028885,66.416024
M_IZ_L043M3NAAA,67.075819,32.924181,1.150933,68.102564,1.311667,45.837375,0.878836,52.002144,0.534097,31.603353,0.605000,99.908659,0.451667,0.255000,-74.814098,94.818256,181.951784,-134.938915,-104.422095,36.148171,53.449525,22.368667,9.055667,13.313000,22.570492,48.494793,2.410000,-3.762000,6.172000,37.727262,38.458829,8.020000,-1.666000,9.686000,36.928377,46.039915,39.177333,39.318333,-0.744000,16.029333,40.224333,16.029333,41.713667,2.921647,54.421256,93.209610,67.075819,-3.414333,5.040333,-5.244000,-0.271333,0.262000,-4.963667,11.317000,50.565866,6.087645,77.567187,81.047828,5.993000,-11.666333,17.659333,52.969284,85.797970,13.563000,53.591333,4.882333,54.529667,59.902000,8.775000,55.019667,66.693841,33.377301,71.653356,98.060353,3.037000,-2.557667,5.594667,80.302913,64.871637,-3.297667,-14.932333,11.634667,76.954865,60.266328,14.361333,22.534667,-1.417333,3.079333,19.067000,3.079333,23.952000,51.670093,27.689583,94.320539,67.075819,20.694333,-34.604000,55.298333,83.550613,3.955684
M_IZ_L050M1NAAA,71.383372,28.616628,0.537640,32.021441,1.981667,30.294542,0.271246,16.155226,0.256023,15.248561,1.000000,60.031249,0.543333,0.440000,-19.887095,21.511674,43.633863,-33.545810,-28.899106,12.053227,22.565874,18.614667,14.387333,4.227333,67.386823,10.546997,2.460000,0.292333,2.167667,15.055315,51.887715,2.821667,-6.664667,9.486333,37.561752,79.243344,30.925000,30.955000,7.699333,15.895667,33.169667,15.895667,25.470333,1.767677,60.005871,94.707156,71.383372,-1.194000,3.720000,-3.241000,-3.282333,-0.512667,-3.476333,7.196333,35.013440,71.130917,87.566421,72.556730,9.446000,0.232000,9.214000,92.238279,33.711131,13.778667,31.313000,11.669333,31.650333,33.733667,15.775667,22.064333,71.130917,49.600345,73.635798,98.804714,4.449000,1.414000,3.035000,76.257533,71.404238,-5.020667,-15.656667,10.636000,51.060535,87.348414,5.301333,18.437000,2.027667,4.150000,11.436333,3.850000,16.409333,54.209320,68.942931,85.736567,81.484382,5.579667,-18.743333,24.323000,78.416235,46.436777
